"Distancía absoluta [m]
01/01/2020",Número de soldadura,SMYS [psi],Diámetro [mm],Espesor [mm],Elevación [m],Latitud[º] / Este,Longitud [º]/ Norte,Feature typev (don't incude blank),Inclinación - Pitch [grados] - desde Extraer GW - Interpolar,Azimuth - [Grados] - desde Extraer GW - Interpolar,Distancia de Registro [km],Presión de diseño [psi],Presió Interpolada [psi] (desde colmna K),PK [km],Perfil de presión operativa [psi],Distancia de registro perfil operativo [m]
1368.648,1340,60000,323.85,13.7,1448.529,1187960.796,835534.218,GW,,,13.68648,3656.0,1648.0,184.64175,1165.7336880891894,20917.52
1380.891,1350,60000,323.85,13.7,1448.951,1187970.031,835542.239,GW,,,13.808910000000001,3656.0,1648.0,184.65393,1165.8701154774683,20929.7
1393.143,1360,60000,323.85,9.3,1449.211,1187979.227,835550.322,GW,,,13.93143,2482.0,1648.0,184.86005,1239.8761762966003,21135.82
1401.725,1370,60000,323.85,9.3,1449.463,1187986.209,835555.224,GW,,,14.017249999999999,2482.0,1649.0,184.87222,1238.4410934324587,21147.99
1414.175,1380,60000,323.85,9.3,1450.131,1187997.227,835560.975,GW,,,14.14175,2482.0,1649.0,185.44597,1060.5679919859394,21721.74
1426.599,1390,60000,323.85,9.3,1450.669,1188007.247,835568.213,GW,,,14.265989999999999,2482.0,1649.0,185.45756,1059.6121182923553,21733.33
1438.819,1400,60000,323.85,9.3,1451.201,1188016.32,835576.367,GW,,,14.38819,2482.0,1649.0,185.83258,1181.6308260091268,22108.35
1449.523,1410,60000,323.85,9.3,1451.525,1188024.136,835583.666,GW,,,14.49523,2482.0,1649.0,185.83721,1181.3823934792397,22112.98
1461.874,1420,60000,323.85,9.3,1452.091,1188033.167,835592.064,GW,,,14.61874,2482.0,1649.0,185.99137,1129.6771714907186,22267.14
1474.32,1430,60000,323.85,9.3,1452.555,1188042.263,835600.537,GW,,,14.7432,2482.0,1650.0,186.00351,1129.3790335363124,22279.28
1486.774,1440,60000,323.85,9.3,1452.872,1188051.324,835609.067,GW,,,14.86774,2482.0,1650.0,186.44205,1118.622029269889,22717.82
1499.207,1450,60000,323.85,9.3,1453.335,1188060.309,835617.64,GW,,,14.992070000000002,2482.0,1650.0,186.87924,1294.0798990675753,23155.01
1511.681,1460,60000,323.85,9.3,1453.762,1188069.33,835626.237,GW,,,15.116810000000001,2482.0,1650.0,186.89136,1298.1912388833257,23167.13
1524.787,1470,60000,323.85,9.3,1454.095,1188078.819,835635.265,GW,,,15.24787,2482.0,1650.0,186.92746,1283.539431107621,23203.23
1537.214,1480,60000,323.85,9.3,1454.346,1188087.915,835643.719,GW,,,15.37214,2482.0,1651.0,186.93658,1283.8189152209488,23212.35
1549.655,1490,60000,323.85,9.3,1454.52,1188097.028,835652.178,GW,,,15.49655,2482.0,1651.0,187.16291,1279.2877980657536,23438.68
1562.066,1500,60000,323.85,9.3,1454.587,1188106.079,835660.66,GW,,,15.62066,2482.0,1651.0,187.17457,1278.691631322119,23450.34
1574.54,1510,60000,323.85,10.7,1454.777,1188115.077,835669.29,GW,,,15.7454,2855.0,1651.0,187.33131,1316.1774259953222,23607.08
1586.991,1520,60000,323.85,9.3,1454.877,1188124.061,835677.902,GW,,,15.869909999999999,2482.0,1651.0,187.34107,1315.3343086556197,23616.84
1599.395,1530,60000,323.85,9.3,1454.566,1188133.059,835686.424,GW,,,15.99395,2482.0,1652.0,187.5264,1250.201659756638,23802.17
1611.891,1540,60000,323.85,9.3,1454.069,1188142.184,835694.938,GW,,,16.11891,2482.0,1652.0,187.53863,1250.135780666024,23814.4
1624.336,1550,60000,323.85,9.3,1453.862,1188151.366,835703.327,GW,,,16.24336,2482.0,1652.0,187.82915,1185.5554500588687,24104.92
1633.894,1560,60000,323.85,9.3,1453.358,1188158.469,835709.695,GW,,,16.33894,2482.0,1652.0,187.84137,1187.5116814978333,24117.14
1636.409,1570,60000,323.85,9.3,1453.279,1188160.365,835711.343,GW,,,16.36409,2482.0,1652.0,188.07285,1291.7859719356652,24348.62
1648.841,1580,60000,323.85,13.7,1453.12,1188169.643,835719.607,GW,,,16.48841,3656.0,1652.0,188.07751,1291.6658353220437,24353.28
1661.079,1590,60000,323.85,13.7,1452.958,1188178.628,835727.901,GW,,,16.610789999999998,3656.0,1653.0,188.65581,1114.4898754722658,24931.58
1673.243,1600,60000,323.85,9.3,1452.874,1188187.215,835736.507,GW,,,16.73243,2482.0,1653.0,188.668,1113.2304970659666,24943.77
1684.015,1610,60000,323.85,9.3,1452.591,1188194.848,835744.093,GW,,,16.84015,2482.0,1653.0,189.05365,1254.0053361196983,25329.42
1696.569,1620,60000,323.85,13.7,1451.935,1188203.762,835752.896,GW,,,16.96569,3656.0,1653.0,189.06588,1254.936281540085,25341.65
1708.823,1630,60000,323.85,13.7,1452.591,1188212.411,835761.499,GW,,,17.08823,3656.0,1653.0,189.17487,1235.2554984410476,25450.64
1721.052,1640,60000,323.85,9.3,1452.234,1188221.143,835770.043,GW,,,17.21052,2482.0,1653.0,189.18654,1235.2782271848346,25462.31
1733.58,1650,60000,323.85,9.3,1452.167,1188230.278,835778.607,GW,,,17.3358,2482.0,1654.0,189.45124,1293.2635902705956,25727.01
1746.13,1660,60000,323.85,9.3,1452.025,1188239.487,835787.123,GW,,,17.4613,2482.0,1654.0,189.46352,1296.5721836750886,25739.29
1758.597,1670,60000,323.85,9.3,1451.96,1188248.689,835795.527,GW,,,17.58597,2482.0,1654.0,189.50897,1286.5567358314038,25784.74
1771.067,1680,60000,323.85,9.3,1451.923,1188257.919,835803.901,GW,,,17.71067,2482.0,1654.0,189.82504,1377.310070262955,26100.81
1783.519,1690,60000,323.85,9.3,1451.378,1188267.15,835812.232,GW,,,17.83519,2482.0,1654.0,189.83728,1378.1757127207625,26113.05
1796.401,1700,60000,323.85,9.3,1450.841,1188276.755,835820.786,GW,,,17.964010000000002,2482.0,1655.0,190.62478,1117.5412412979122,26900.55
1808.902,1710,60000,323.85,9.3,1450.637,1188286.404,835828.721,GW,,,18.08902,2482.0,1655.0,190.63698,1117.8965302770348,26912.75
